,county,month,price
0,Los Angeles,2,648559
1,San Diego,2,622347
2,Orange,2,756030
3,Riverside,2,399386
4,San Bernardino,2,364813
5,Santa Clara,2,1151196
6,Alameda,2,877331
7,Sacramento,2,392257
8,Contra Costa,2,707565
9,Fresno,2,265778
10,Kern,2,231603
11,Ventura,2,611827
12,San Francisco,2,1440901
13,San Mateo,2,1389715
14,San Joaquin,2,384497
15,Stanislaus,2,330957
16,Sonoma,2,658258
17,Tulare,2,224023
18,Santa Barbara,2,647458
19,Monterey,2,593625
20,Solano,2,460404
21,Placer,2,517122
22,San Luis Obispo,2,628403
23,Santa Cruz,2,835807
24,Merced,2,280456
25,Marin,2,1148019
26,Butte,2,329113
27,Yolo,2,469364
28,El Dorado,2,484138
29,Shasta,2,275840
30,Imperial,2,242600
31,Kings,2,232744
32,Madera,2,274300
33,Napa,2,687706
34,Humboldt,2,325276
35,Nevada,2,474067
36,Sutter,2,320511
37,Mendocino,2,393869
38,Yuba,2,290395
39,Lake,2,253315
40,Tehama,2,236849
41,Tuolumne,2,296106
42,San Benito,2,638709
43,Calaveras,2,328446
44,Siskiyou,2,216615
45,Amador,2,343280
46,Lassen,2,173668
47,Del Norte,2,257934
48,Glenn,2,238587
49,Colusa,2,240312
50,Plumas,2,278682
51,Inyo,2,355773
52,Mariposa,2,295929
53,Mono,2,465740
54,Trinity,2,278697
55,Modoc,2,130581
56,Sierra,2,241664
57,Alpine,2,429727
58,Los Angeles,3,653908
59,San Diego,3,626600
60,Orange,3,760912
61,Riverside,3,400102
62,San Bernardino,3,367028
63,Santa Clara,3,1164290
64,Alameda,3,881064
65,Sacramento,3,395515
66,Contra Costa,3,709355
67,Fresno,3,267251
68,Kern,3,233343
69,Ventura,3,612419
70,San Francisco,3,1439253
71,San Mateo,3,1398185
72,San Joaquin,3,385937
73,Stanislaus,3,333104
74,Sonoma,3,660048
75,Tulare,3,225652
76,Santa Barbara,3,651125
77,Monterey,3,596305
78,Solano,3,462513
79,Placer,3,519169
80,San Luis Obispo,3,630422
81,Santa Cruz,3,841515
82,Merced,3,282837
83,Marin,3,1155208
84,Butte,3,326937
85,Yolo,3,471517
86,El Dorado,3,485283
87,Shasta,3,276438
88,Imperial,3,244803
89,Kings,3,235126
90,Madera,3,276121
91,Napa,3,689546
92,Humboldt,3,325442
93,Nevada,3,474007
94,Sutter,3,322652
95,Mendocino,3,396641
96,Yuba,3,292234
97,Lake,3,254784
98,Tehama,3,237849
99,Tuolumne,3,294515
100,San Benito,3,643500
101,Calaveras,3,329925
102,Siskiyou,3,216580
103,Amador,3,343133
104,Lassen,3,174135
105,Del Norte,3,258604
106,Glenn,3,239106
107,Colusa,3,240223
108,Plumas,3,278524
109,Inyo,3,356253
110,Mariposa,3,296051
111,Mono,3,466709
112,Trinity,3,278827
113,Modoc,3,130275
114,Sierra,3,241652
115,Alpine,3,429682
116,Los Angeles,4,658518
117,San Diego,4,629514
118,Orange,4,764278
119,Riverside,4,402010
120,San Bernardino,4,369653
121,Santa Clara,4,1171084
122,Alameda,4,881006
123,Sacramento,4,397844
124,Contra Costa,4,713545
125,Fresno,4,269209
126,Kern,4,235196
127,Ventura,4,613582
128,San Francisco,4,1440106
129,San Mateo,4,1395431
130,San Joaquin,4,388384
131,Stanislaus,4,334509
132,Sonoma,4,658932
133,Tulare,4,227600
134,Santa Barbara,4,656568
135,Monterey,4,598475
136,Solano,4,463124
137,Placer,4,521062
138,San Luis Obispo,4,632797
139,Santa Cruz,4,844090
140,Merced,4,283949
141,Marin,4,1163019
142,Butte,4,326141
143,Yolo,4,470927
144,El Dorado,4,487938
145,Shasta,4,277990
146,Imperial,4,245321
147,Kings,4,237691
148,Madera,4,277765
149,Napa,4,693385
150,Humboldt,4,325818
151,Nevada,4,472984
152,Sutter,4,325106
153,Mendocino,4,398353
154,Yuba,4,293667
155,Lake,4,256900
156,Tehama,4,238458
157,Tuolumne,4,293022
158,San Benito,4,641025
159,Calaveras,4,332386
160,Siskiyou,4,216517
161,Amador,4,342489
162,Lassen,4,174458
163,Del Norte,4,259165
164,Glenn,4,239151
165,Colusa,4,240436
166,Plumas,4,278518
167,Inyo,4,356775
168,Mariposa,4,295998
169,Mono,4,467230
170,Trinity,4,278523
171,Modoc,4,129927
172,Sierra,4,241489
173,Alpine,4,429366
174,Los Angeles,5,660247
175,San Diego,5,633148
176,Orange,5,765411
177,Riverside,5,404565
178,San Bernardino,5,370722
179,Santa Clara,5,1176628
180,Alameda,5,879054
181,Sacramento,5,399067
182,Contra Costa,5,714058
183,Fresno,5,270908
184,Kern,5,236252
185,Ventura,5,615640
186,San Francisco,5,1433474
187,San Mateo,5,1384869
188,San Joaquin,5,389576
189,Stanislaus,5,337503
190,Sonoma,5,656157
191,Tulare,5,229101
192,Santa Barbara,5,661520
193,Monterey,5,603522
194,Solano,5,464220
195,Placer,5,521654
196,San Luis Obispo,5,632094
197,Santa Cruz,5,846648
198,Merced,5,283974
199,Marin,5,1168348
200,Butte,5,325956
201,Yolo,5,470356
202,El Dorado,5,490221
203,Shasta,5,279123
204,Imperial,5,245625
205,Kings,5,239320
206,Madera,5,279029
207,Napa,5,697741
208,Humboldt,5,327266
209,Nevada,5,473570
210,Sutter,5,327777
211,Mendocino,5,401210
212,Yuba,5,295073
213,Lake,5,258597
214,Tehama,5,239634
215,Tuolumne,5,292241
216,San Benito,5,638756
217,Calaveras,5,334864
218,Siskiyou,5,216422
219,Amador,5,341605
220,Lassen,5,174558
221,Del Norte,5,259518
222,Glenn,5,239273
223,Colusa,5,240667
224,Plumas,5,278418
225,Inyo,5,356664
226,Mariposa,5,295796
227,Mono,5,467555
228,Trinity,5,278382
229,Modoc,5,129660
230,Sierra,5,241623
231,Alpine,5,428939
232,Los Angeles,6,661463
233,San Diego,6,635417
234,Orange,6,766346
235,Riverside,6,407123
236,San Bernardino,6,372515
237,Santa Clara,6,1186198
238,Alameda,6,877874
239,Sacramento,6,399680
240,Contra Costa,6,715482
241,Fresno,6,271942
242,Kern,6,237146
243,Ventura,6,617934
244,San Francisco,6,1425660
245,San Mateo,6,1376833
246,San Joaquin,6,390062
247,Stanislaus,6,340197
248,Sonoma,6,652802
249,Tulare,6,231204
250,Santa Barbara,6,663913
251,Monterey,6,607930
252,Solano,6,464741
253,Placer,6,523559
254,San Luis Obispo,6,633522
255,Santa Cruz,6,849202
256,Merced,6,284763
257,Marin,6,1178070
258,Butte,6,325746
259,Yolo,6,470936
260,El Dorado,6,493486
261,Shasta,6,279696
262,Imperial,6,246603
263,Kings,6,240965
264,Madera,6,280505
265,Napa,6,701412
266,Humboldt,6,329325
267,Nevada,6,477542
268,Sutter,6,328871
269,Mendocino,6,404811
270,Yuba,6,296192
271,Lake,6,259926
272,Tehama,6,240238
273,Tuolumne,6,291804
274,San Benito,6,640233
275,Calaveras,6,336381
276,Siskiyou,6,216298
277,Amador,6,340593
278,Lassen,6,174508
279,Del Norte,6,259727
280,Glenn,6,239489
281,Colusa,6,240933
282,Plumas,6,278385
283,Inyo,6,356411
284,Mariposa,6,295677
285,Mono,6,467755
286,Trinity,6,278024
287,Modoc,6,129646
288,Sierra,6,241602
289,Alpine,6,428551
290,Los Angeles,7,666544
291,San Diego,7,638576
292,Orange,7,769283
293,Riverside,7,409971
294,San Bernardino,7,375547
295,Santa Clara,7,1201319
296,Alameda,7,881576
297,Sacramento,7,402025
298,Contra Costa,7,720368
299,Fresno,7,273940
300,Kern,7,238985
301,Ventura,7,621281
302,San Francisco,7,1417406
303,San Mateo,7,1375257
304,San Joaquin,7,392678
305,Stanislaus,7,344481
306,Sonoma,7,651350
307,Tulare,7,234398
308,Santa Barbara,7,665798
309,Monterey,7,613431
310,Solano,7,463868
311,Placer,7,527113
312,San Luis Obispo,7,636569
313,Santa Cruz,7,856794
314,Merced,7,287809
315,Marin,7,1193516
316,Butte,7,327220
317,Yolo,7,471606
318,El Dorado,7,497980
319,Shasta,7,281258
320,Imperial,7,249377
321,Kings,7,243236
322,Madera,7,282945
323,Napa,7,707770
324,Humboldt,7,332817
325,Nevada,7,484792
326,Sutter,7,328469
327,Mendocino,7,410220
328,Yuba,7,298019
329,Lake,7,260910
330,Tehama,7,242027
331,Tuolumne,7,291860
332,San Benito,7,645599
333,Calaveras,7,338943
334,Siskiyou,7,217062
335,Amador,7,339405
336,Lassen,7,175007
337,Del Norte,7,259758
338,Glenn,7,241074
339,Colusa,7,242678
340,Plumas,7,279875
341,Inyo,7,359349
342,Mariposa,7,296367
343,Mono,7,469551
344,Trinity,7,279763
345,Modoc,7,130171
346,Sierra,7,241313
347,Alpine,7,428224
348,Los Angeles,8,674103
349,San Diego,8,643903
350,Orange,8,775797
351,Riverside,8,413913
352,San Bernardino,8,379973
353,Santa Clara,8,1226635
354,Alameda,8,890997
355,Sacramento,8,406197
356,Contra Costa,8,731238
357,Fresno,8,277022
358,Kern,8,241167
359,Ventura,8,624692
360,San Francisco,8,1416874
361,San Mateo,8,1384585
362,San Joaquin,8,395907
363,Stanislaus,8,347812
364,Sonoma,8,653186
365,Tulare,8,237426
366,Santa Barbara,8,670339
367,Monterey,8,618457
368,Solano,8,463728
369,Placer,8,531521
370,San Luis Obispo,8,640861
371,Santa Cruz,8,871444
372,Merced,8,290806
373,Marin,8,1212310
374,Butte,8,329952
375,Yolo,8,472727
376,El Dorado,8,505154
377,Shasta,8,284154
378,Imperial,8,253328
379,Kings,8,246599
380,Madera,8,285769
381,Napa,8,715605
382,Humboldt,8,335691
383,Nevada,8,494397
384,Sutter,8,328612
385,Mendocino,8,416662
386,Yuba,8,299591
387,Lake,8,261708
388,Tehama,8,243361
389,Tuolumne,8,292342
390,San Benito,8,652590
391,Calaveras,8,342717
392,Siskiyou,8,218011
393,Amador,8,337535
394,Lassen,8,175672
395,Del Norte,8,259896
396,Glenn,8,242818
397,Colusa,8,244669
398,Plumas,8,281976
399,Inyo,8,363574
400,Mariposa,8,297871
401,Mono,8,471641
402,Trinity,8,281967
403,Modoc,8,130990
404,Sierra,8,240355
405,Alpine,8,428056
